	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotalTests	Population	Continent
173	South Sudan	16,936		137		13,077		3,722	1	330,958	11,408,742	Africa
174	Equatorial Guinea	15,874		182		15,625		67	5	273,437	1,478,398	Africa
175	Djibouti	15,542		189		15,343		10		282,301	1,011,536	Africa
176	Gibraltar	14,873		101		13,993		779	16	507,804	33,675	Europe
177	San Marino	14,207		112		13,703		392	4	134,668	34,048	Europe
178	CAR	14,187		113		6,859		7,215	2	81,294	4,967,301	Africa
179	Grenada	13,565	+33	214		13,184	+70	167	5	135,013	113,377	North America
180	Gambia	11,924		365		11,461		98	4	135,608	2,527,783	Africa
181	Yemen	11,746	+5	2,124	+1	8,580	+13	1,042	23	265,253	30,901,501	Asia
182	Greenland	11,581		13	+1	2,761		8,807	9	164,926	56,931	North America
183	Bermuda	11,423		123		11,096		204		787,731	61,901	North America
184	Liechtenstein	11,302	+9	76	+1	10,929	+76	297	9	80,413	38,307	Europe
185	Dominica	10,801		57		9,947		797		162,148	72,279	North America
186	Bhutan	10,196	+84	6		6,644	+189	3,546		1,920,885	785,529	Asia
187	Saint Martin	9,827		63		1,399		8,365	7	78,366	39,746	North America
188	Eritrea	9,689		103		9,572	+13	14		23,693	3,626,829	Africa
189	Sint Maarten	9,533		85		9,384		64	10	62,056	43,674	North America
190	Monaco	9,267	+50	51		9,011	+25	205	4	54,960	39,698	Europe
191	Niger	8,743		306		8,409		28	1	226,119	25,639,956	Africa
192	Comoros	8,021		160		7,812		49			899,932	Africa
193	Guinea-Bissau	7,945	+38	166		6,953	+18	826	6	122,558	2,044,149	Africa
194	Sierra Leone	7,663		125		N/A	N/A	N/A		259,958	8,242,616	Africa
195	Caribbean Netherlands	7,528		31		7,390		107		30,126	26,622	North America
196	Antigua and Barbuda	7,408		135		7,189		84	1	18,901	99,258	North America
197	Liberia	7,360		290		5,747		1,323	2	139,824	5,252,294	Africa
198	Chad	7,246		190		4,874		2,182		191,341	17,197,232	Africa
199	St. Vincent Grenadines	6,737		106	+1	6,570	+2	61	4	97,955	111,517	North America
200	British Virgin Islands	6,050		62		N/A	N/A	N/A	6	99,936	30,561	North America
201	Sao Tome and Principe	5,930		72		5,848	+1	10		29,036	225,824	Africa
202	Solomon Islands	5,891		83		1,547		4,261	8	5,117	714,458	Australia/Oceania
203	Turks and Caicos	5,846		36		5,763		47	4	419,792	39,575	North America
204	Saint Kitts and Nevis	5,523		42		5,456		25	1	65,141	53,816	North America
205	St. Barth	3,735		6		N/A	N/A	N/A		56,491	9,926	North America
206	Palau	3,627	+64	6		2,791	+48	830	15	35,487	18,235	Australia/Oceania
207	Kiribati	2,861	+14	11		1,588	+222	1,262	4		122,451	Australia/Oceania
208	Anguilla	2,506		9		2,476		21	4	51,382	15,222	North America
209	Saint Pierre Miquelon	1,063		1		1,035		27	1	17,358	5,748	North America
210	Diamond Princess	712		13		699		0				
211	Wallis and Futuna	454		7		438		9		20,508	10,916	Australia/Oceania
212	Tonga	234				38		196			107,658	Australia/Oceania
213	Montserrat	163		2		161		0		7,796	4,997	North America
214	Falkland Islands	89				N/A	N/A	N/A		8,632	3,646	South America
215	Macao	80	+1			79		1		5,310	663,836	Asia
216	Samoa	33				3		30			200,575	Australia/Oceania
217	Vatican City	29				28		1			804	Europe
218	Vanuatu	15		1		6		8		23,000	318,895	Australia/Oceania
219	Western Sahara	10		1		8		1			621,381	Africa
220	MS Zaandam	9		2		7		0				
221	Marshall Islands	7				7		0			59,845	Australia/Oceania
222	Cook Islands	4						4		863	17,590	Australia/Oceania
223	Saint Helena	2				2		0			6,107	Africa
224	Micronesia	1				1		0			116,999	Australia/Oceania
225	China	107,989	+138	4,636		101,544	+53	1,809	12	160,000,000	1,439,323,776	Asia
